symbol,date,price
Temp,2015-09-02,0
Vandelay,2015-09-02,2124
Harper,2015-09-02,9146
Harris,2015-09-02,8940
Fisher,2015-09-03,0
Arno,2015-09-03,0
Temp,2015-09-03,0
Vandelay,2015-09-03,1952
Harper,2015-09-03,4985
Harris,2015-09-03,4756
Fisher,2015-09-04,0
Arno,2015-09-04,6823
Temp,2015-09-04,0
Vandelay,2015-09-04,3631
Harper,2015-09-04,127
Harris,2015-09-04,8146
Fisher,2015-09-05,0
Arno,2015-09-05,0
Temp,2015-09-05,0
Vandelay,2015-09-05,0
Harper,2015-09-05,0
Harris,2015-09-05,0
Fisher,2015-09-06,0
Arno,2015-09-06,0
Temp,2015-09-06,0
Vandelay,2015-09-06,0
Harper,2015-09-06,0
Harris,2015-09-06,0
Fisher,2015-09-07,0
Arno,2015-09-07,0
Temp,2015-09-07,0
Vandelay,2015-09-07,0
Harper,2015-09-07,0
Harris,2015-09-07,0
Fisher,2015-09-08,4765
Arno,2015-09-08,0
Temp,2015-09-08,0
Vandelay,2015-09-08,652
Harper,2015-09-08,0
Harris,2015-09-08,8670
Fisher,2015-09-09,0
Arno,2015-09-09,0
Temp,2015-09-09,300
Vandelay,2015-09-09,0
Harper,2015-09-09,11256
Harris,2015-09-09,10727
Fisher,2015-09-10,0
Arno,2015-09-10,0
Temp,2015-09-10,11660
Vandelay,2015-09-10,0
Harper,2015-09-10,5136
Harris,2015-09-10,6227
Fisher,2015-09-11,0
Arno,2015-09-11,8149
Temp,2015-09-11,5754
Vandelay,2015-09-11,0
Harper,2015-09-11,0
Harris,2015-09-11,6770
Fisher,2015-09-12,0
Arno,2015-09-12,0
Temp,2015-09-12,0
Vandelay,2015-09-12,0
Harper,2015-09-12,0
Harris,2015-09-12,0
Fisher,2015-09-13,0
Arno,2015-09-13,0
Temp,2015-09-13,0
Vandelay,2015-09-13,0
Harper,2015-09-13,0
Harris,2015-09-13,0
Fisher,2015-09-14,5050
Arno,2015-09-14,7454
Temp,2015-09-14,0
Vandelay,2015-09-14,2302
Harper,2015-09-14,15591
Harris,2015-09-14,40524
Fisher,2015-09-15,3252
Arno,2015-09-15,0
Temp,2015-09-15,491
Vandelay,2015-09-15,1471
Harper,2015-09-15,12143
Harris,2015-09-15,8100
Fisher,2015-09-16,0
Arno,2015-09-16,0
Temp,2015-09-16,5
Vandelay,2015-09-16,2084
Harper,2015-09-16,9780
Harris,2015-09-16,8590
Fisher,2015-09-17,0
Arno,2015-09-17,165
Temp,2015-09-17,5830
Vandelay,2015-09-17,2350
Harper,2015-09-17,5682
Harris,2015-09-17,7545
Fisher,2015-09-18,0
Arno,2015-09-18,7969
Temp,2015-09-18,0
Vandelay,2015-09-18,1054
Harper,2015-09-18,100
Harris,2015-09-18,6270
Fisher,2015-09-19,0
Arno,2015-09-19,0
Temp,2015-09-19,0
